message,severity,attributes,tags,timestamp
2026-04-12 19:42:07.263 UTC [82] LOG:  checkpoint starting: time,error,"{""level"":""error""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""36487f9f-d6e0-4ae7-a9fc-b1c13019c725"",""deployment"":""da78d6a6-567e-488e-9442-9eefb7357d65"",""replica"":""55c8e63b-6d94-43ac-9bff-07c523534f60""}",2026-04-12T19:42:14.443784328Z
"2026-04-12 19:42:08.386 UTC [82] LOG:  checkpoint complete: wrote 11 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.106 s, sync=0.007 s, total=1.124 s; sync files=8, longest=0.005 s, average=0.001 s; distance=52 kB, estimate=156 kB; lsn=0/1E7F180, redo lsn=0/1E7F0F0",error,"{""level"":""error""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""36487f9f-d6e0-4ae7-a9fc-b1c13019c725"",""deployment"":""da78d6a6-567e-488e-9442-9eefb7357d65"",""replica"":""55c8e63b-6d94-43ac-9bff-07c523534f60""}",2026-04-12T19:42:14.443793140Z
2026-04-12 19:47:07.485 UTC [82] LOG:  checkpoint starting: time,error,"{""level"":""error""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""36487f9f-d6e0-4ae7-a9fc-b1c13019c725"",""deployment"":""da78d6a6-567e-488e-9442-9eefb7357d65"",""replica"":""55c8e63b-6d94-43ac-9bff-07c523534f60""}",2026-04-12T19:47:14.358870305Z
"2026-04-12 19:47:07.606 UTC [82] LOG:  checkpoint complete: wrote 1 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.104 s, sync=0.005 s, total=0.121 s; sync files=2, longest=0.003 s, average=0.003 s; distance=12 kB, estimate=142 kB; lsn=0/1E82240, redo lsn=0/1E821E8",error,"{""level"":""error""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""36487f9f-d6e0-4ae7-a9fc-b1c13019c725"",""deployment"":""da78d6a6-567e-488e-9442-9eefb7357d65"",""replica"":""55c8e63b-6d94-43ac-9bff-07c523534f60""}",2026-04-12T19:47:14.358879156Z
npm warn config production Use `--omit=dev` instead.,error,"{""level"":""error""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""eac9c51c-e140-4962-ab07-e2e20d5d2f2b"",""replica"":""739aa95b-996f-4e1c-8f42-a2901ebcd895""}",2026-04-12T19:52:13.353320427Z
,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""eac9c51c-e140-4962-ab07-e2e20d5d2f2b"",""replica"":""739aa95b-996f-4e1c-8f42-a2901ebcd895""}",2026-04-12T19:52:13.353328998Z
> titanbot-custom@2.0.0 start,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""eac9c51c-e140-4962-ab07-e2e20d5d2f2b"",""replica"":""739aa95b-996f-4e1c-8f42-a2901ebcd895""}",2026-04-12T19:52:13.353335291Z
> node src/app.js,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""eac9c51c-e140-4962-ab07-e2e20d5d2f2b"",""replica"":""739aa95b-996f-4e1c-8f42-a2901ebcd895""}",2026-04-12T19:52:13.353342247Z
,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""eac9c51c-e140-4962-ab07-e2e20d5d2f2b"",""replica"":""739aa95b-996f-4e1c-8f42-a2901ebcd895""}",2026-04-12T19:52:13.353346746Z
[19:52:13] [startup]: Starting TitanBot...,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""eac9c51c-e140-4962-ab07-e2e20d5d2f2b"",""replica"":""739aa95b-996f-4e1c-8f42-a2901ebcd895""}",2026-04-12T19:52:13.444494120Z
