message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""667c998d-69ec-445c-a604-7e9224adf575"",""replica"":""28587f3b-e9fd-46ac-9301-f4ac0a461e5a""}",2026-04-13T01:07:56.505363569Z
> node src/app.js,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""667c998d-69ec-445c-a604-7e9224adf575"",""replica"":""28587f3b-e9fd-46ac-9301-f4ac0a461e5a""}",2026-04-13T01:07:56.586683175Z
,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""667c998d-69ec-445c-a604-7e9224adf575"",""replica"":""28587f3b-e9fd-46ac-9301-f4ac0a461e5a""}",2026-04-13T01:07:56.586693617Z
[01:07:56] [startup]: Starting TitanBot...,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""667c998d-69ec-445c-a604-7e9224adf575"",""replica"":""28587f3b-e9fd-46ac-9301-f4ac0a461e5a""}",2026-04-13T01:07:56.586699115Z
npm warn config production Use `--omit=dev` instead.,error,"{""level"":""error""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""667c998d-69ec-445c-a604-7e9224adf575"",""replica"":""28587f3b-e9fd-46ac-9301-f4ac0a461e5a""}",2026-04-13T01:07:56.586752055Z
,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""667c998d-69ec-445c-a604-7e9224adf575"",""replica"":""28587f3b-e9fd-46ac-9301-f4ac0a461e5a""}",2026-04-13T01:07:56.586754761Z
> titanbot-custom@2.0.0 start,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""667c998d-69ec-445c-a604-7e9224adf575"",""replica"":""28587f3b-e9fd-46ac-9301-f4ac0a461e5a""}",2026-04-13T01:07:56.586757464Z
[01:07:57] [startup]: Initializing database...,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""667c998d-69ec-445c-a604-7e9224adf575"",""replica"":""28587f3b-e9fd-46ac-9301-f4ac0a461e5a""}",2026-04-13T01:07:57.603459671Z
[01:07:57] [startup]: ✅ Database Status: postgresql (fully operational),info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""667c998d-69ec-445c-a604-7e9224adf575"",""replica"":""28587f3b-e9fd-46ac-9301-f4ac0a461e5a""}",2026-04-13T01:07:57.627782646Z
[01:07:57] [startup]: Starting web server...,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""667c998d-69ec-445c-a604-7e9224adf575"",""replica"":""28587f3b-e9fd-46ac-9301-f4ac0a461e5a""}",2026-04-13T01:07:57.627791431Z
