message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""e0a984a9-8317-45c1-bc51-42d60492961d"",""deployment"":""0491f6ca-377b-4c47-9514-0cb34190d638"",""replica"":""51be8faf-02fb-4ccf-b0d8-0f4c95e9b507""}",2026-04-12T21:03:20.764340701Z
2026-04-12T21:03:21.530Z  INFO 1 --- [Lavalink] [           main] lavalink.server.Launcher                 : Starting Launcher v4.2.2 using Java 17.0.18 with PID 1 (/opt/Lavalink/Lavalink.jar started by lavalink in /opt/Lavalink),info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""e0a984a9-8317-45c1-bc51-42d60492961d"",""deployment"":""0491f6ca-377b-4c47-9514-0cb34190d638"",""replica"":""51be8faf-02fb-4ccf-b0d8-0f4c95e9b507""}",2026-04-12T21:03:22.421234112Z
"2026-04-12T21:03:21.533Z  INFO 1 --- [Lavalink] [           main] lavalink.server.Launcher                 : No active profile set, falling back to 1 default profile: ""default""",info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""e0a984a9-8317-45c1-bc51-42d60492961d"",""deployment"":""0491f6ca-377b-4c47-9514-0cb34190d638"",""replica"":""51be8faf-02fb-4ccf-b0d8-0f4c95e9b507""}",2026-04-12T21:03:22.421237480Z
2026-04-12T21:03:22.823Z  INFO 1 --- [Lavalink] [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=3d6bf653-92ea-3fde-943a-10b9f8cd696e,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""e0a984a9-8317-45c1-bc51-42d60492961d"",""deployment"":""0491f6ca-377b-4c47-9514-0cb34190d638"",""replica"":""51be8faf-02fb-4ccf-b0d8-0f4c95e9b507""}",2026-04-12T21:03:22.826408014Z
2026-04-12T21:03:23.817Z  INFO 1 --- [Lavalink] [           main] lavalink.server.Launcher                 : Started Launcher in 3.074 seconds (process running for 4.123),info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""e0a984a9-8317-45c1-bc51-42d60492961d"",""deployment"":""0491f6ca-377b-4c47-9514-0cb34190d638"",""replica"":""51be8faf-02fb-4ccf-b0d8-0f4c95e9b507""}",2026-04-12T21:03:23.824199084Z
2026-04-12T21:03:24.013Z  INFO 1 --- [Lavalink] [           main] lavalink.server.Launcher                 : ,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""e0a984a9-8317-45c1-bc51-42d60492961d"",""deployment"":""0491f6ca-377b-4c47-9514-0cb34190d638"",""replica"":""51be8faf-02fb-4ccf-b0d8-0f4c95e9b507""}",2026-04-12T21:03:24.030312268Z
,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""e0a984a9-8317-45c1-bc51-42d60492961d"",""deployment"":""0491f6ca-377b-4c47-9514-0cb34190d638"",""replica"":""51be8faf-02fb-4ccf-b0d8-0f4c95e9b507""}",2026-04-12T21:03:24.030315488Z
[32m       .  [31m _                  _ _       _    [32m__ _ _,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""e0a984a9-8317-45c1-bc51-42d60492961d"",""deployment"":""0491f6ca-377b-4c47-9514-0cb34190d638"",""replica"":""51be8faf-02fb-4ccf-b0d8-0f4c95e9b507""}",2026-04-12T21:03:24.030318440Z
[32m      /\\ [31m| | __ ___   ____ _| (_)_ __ | | __[32m\ \ \ \,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""e0a984a9-8317-45c1-bc51-42d60492961d"",""deployment"":""0491f6ca-377b-4c47-9514-0cb34190d638"",""replica"":""51be8faf-02fb-4ccf-b0d8-0f4c95e9b507""}",2026-04-12T21:03:24.030321413Z
[32m     ( ( )[31m| |/ _` \ \ / / _` | | | '_ \| |/ /[32m \ \ \ \,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""e0a984a9-8317-45c1-bc51-42d60492961d"",""deployment"":""0491f6ca-377b-4c47-9514-0cb34190d638"",""replica"":""51be8faf-02fb-4ccf-b0d8-0f4c95e9b507""}",2026-04-12T21:03:24.030324178Z
