message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""39af2172-c4b4-448e-b336-19e8773eb5b1"",""replica"":""a8a0b59a-68a4-45ec-ab0b-fe977edf88ef""}",2026-04-13T01:03:00.875296607Z
npm warn config production Use `--omit=dev` instead.,error,"{""level"":""error""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""39af2172-c4b4-448e-b336-19e8773eb5b1"",""replica"":""a8a0b59a-68a4-45ec-ab0b-fe977edf88ef""}",2026-04-13T01:03:01.372813022Z
,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""39af2172-c4b4-448e-b336-19e8773eb5b1"",""replica"":""a8a0b59a-68a4-45ec-ab0b-fe977edf88ef""}",2026-04-13T01:03:01.372817151Z
> titanbot-custom@2.0.0 start,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""39af2172-c4b4-448e-b336-19e8773eb5b1"",""replica"":""a8a0b59a-68a4-45ec-ab0b-fe977edf88ef""}",2026-04-13T01:03:01.372820961Z
> node src/app.js,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""39af2172-c4b4-448e-b336-19e8773eb5b1"",""replica"":""a8a0b59a-68a4-45ec-ab0b-fe977edf88ef""}",2026-04-13T01:03:01.372824971Z
,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""39af2172-c4b4-448e-b336-19e8773eb5b1"",""replica"":""a8a0b59a-68a4-45ec-ab0b-fe977edf88ef""}",2026-04-13T01:03:01.372829132Z
[01:03:01] [startup]: Starting TitanBot...,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""39af2172-c4b4-448e-b336-19e8773eb5b1"",""replica"":""a8a0b59a-68a4-45ec-ab0b-fe977edf88ef""}",2026-04-13T01:03:01.677379795Z
"[01:03:04] [startup]: Reaction role reconciliation: scanned 0, removed 0, errors 0",info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""39af2172-c4b4-448e-b336-19e8773eb5b1"",""replica"":""a8a0b59a-68a4-45ec-ab0b-fe977edf88ef""}",2026-04-13T01:03:04.461787575Z
[01:03:04] [startup]: Discord login successful,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""39af2172-c4b4-448e-b336-19e8773eb5b1"",""replica"":""a8a0b59a-68a4-45ec-ab0b-fe977edf88ef""}",2026-04-13T01:03:04.461868979Z
[01:03:04] [startup]: Registering slash commands...,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""39af2172-c4b4-448e-b336-19e8773eb5b1"",""replica"":""a8a0b59a-68a4-45ec-ab0b-fe977edf88ef""}",2026-04-13T01:03:04.461893476Z
"[01:03:04] [[33mwarn[39m]: Command count (103) exceeds Discord limit (100), truncating...",info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""39af2172-c4b4-448e-b336-19e8773eb5b1"",""replica"":""a8a0b59a-68a4-45ec-ab0b-fe977edf88ef""}",2026-04-13T01:03:04.461907990Z
[01:03:04] [startup]: Ready! Logged in as 𝑮𝒐𝒋𝒐#6452,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""39af2172-c4b4-448e-b336-19e8773eb5b1"",""replica"":""a8a0b59a-68a4-45ec-ab0b-fe977edf88ef""}",2026-04-13T01:03:04.461916720Z
