message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""8e8fe581-22ba-42ed-adbb-1ea7a762b11f"",""replica"":""895311fb-ed07-478c-ac4b-c10183ff14d8""}",2026-04-12T21:24:39.555548499Z
,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""8e8fe581-22ba-42ed-adbb-1ea7a762b11f"",""replica"":""895311fb-ed07-478c-ac4b-c10183ff14d8""}",2026-04-12T21:24:40.402575601Z
> titanbot-custom@2.0.0 start,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""8e8fe581-22ba-42ed-adbb-1ea7a762b11f"",""replica"":""895311fb-ed07-478c-ac4b-c10183ff14d8""}",2026-04-12T21:24:40.402590812Z
> node src/app.js,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""8e8fe581-22ba-42ed-adbb-1ea7a762b11f"",""replica"":""895311fb-ed07-478c-ac4b-c10183ff14d8""}",2026-04-12T21:24:40.402601704Z
,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""8e8fe581-22ba-42ed-adbb-1ea7a762b11f"",""replica"":""895311fb-ed07-478c-ac4b-c10183ff14d8""}",2026-04-12T21:24:40.402611465Z
npm warn config production Use `--omit=dev` instead.,error,"{""level"":""error""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""8e8fe581-22ba-42ed-adbb-1ea7a762b11f"",""replica"":""895311fb-ed07-478c-ac4b-c10183ff14d8""}",2026-04-12T21:24:40.402732370Z
"[21:24:40] [[31merror[39m]: MagmaStreamError: Manager option ""playNextOnEnd"" must be a boolean.",info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""8e8fe581-22ba-42ed-adbb-1ea7a762b11f"",""replica"":""895311fb-ed07-478c-ac4b-c10183ff14d8""}",2026-04-12T21:24:40.537996808Z
    at managerCheck (/app/node_modules/magmastream/dist/utils/managerCheck.js:22:15),info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""8e8fe581-22ba-42ed-adbb-1ea7a762b11f"",""replica"":""895311fb-ed07-478c-ac4b-c10183ff14d8""}",2026-04-12T21:24:40.538003051Z
    at new Manager (/app/node_modules/magmastream/dist/structures/Manager.js:51:36),info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""8e8fe581-22ba-42ed-adbb-1ea7a762b11f"",""replica"":""895311fb-ed07-478c-ac4b-c10183ff14d8""}",2026-04-12T21:24:40.538008334Z
    at initializeMusicManager (file:///app/src/services/musicService.js:17:22),info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""8e8fe581-22ba-42ed-adbb-1ea7a762b11f"",""replica"":""895311fb-ed07-478c-ac4b-c10183ff14d8""}",2026-04-12T21:24:40.538015061Z
