message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""cb4c1cd7-b6b6-4b49-a752-f383d1c9a989"",""replica"":""911676ce-0dfb-4571-a2f8-e30a63fff87c""}",2026-04-12T21:18:15.327402416Z
npm warn config production Use `--omit=dev` instead.,error,"{""level"":""error""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""cb4c1cd7-b6b6-4b49-a752-f383d1c9a989"",""replica"":""911676ce-0dfb-4571-a2f8-e30a63fff87c""}",2026-04-12T21:18:17.838790369Z
    at factory (/app/node_modules/axios/dist/node/axios.cjs:3890:84),info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""cb4c1cd7-b6b6-4b49-a752-f383d1c9a989"",""replica"":""911676ce-0dfb-4571-a2f8-e30a63fff87c""}",2026-04-12T21:18:17.838796006Z
,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""cb4c1cd7-b6b6-4b49-a752-f383d1c9a989"",""replica"":""911676ce-0dfb-4571-a2f8-e30a63fff87c""}",2026-04-12T21:18:17.838803077Z
[21:18:15] [[31merror[39m]: Error [ERR_REQUIRE_ESM]: require() of ES Module /app/node_modules/@exodus/bytes/encoding-lite.js from /app/node_modules/html-encoding-sniffer/lib/html-encoding-sniffer.js not supported.,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""cb4c1cd7-b6b6-4b49-a752-f383d1c9a989"",""replica"":""911676ce-0dfb-4571-a2f8-e30a63fff87c""}",2026-04-12T21:18:17.838804340Z
    at getFetch (/app/node_modules/axios/dist/node/axios.cjs:4058:68),info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""cb4c1cd7-b6b6-4b49-a752-f383d1c9a989"",""replica"":""911676ce-0dfb-4571-a2f8-e30a63fff87c""}",2026-04-12T21:18:17.838809960Z
    at Object.<anonymous> (/app/node_modules/axios/dist/node/axios.cjs:4063:1),info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""cb4c1cd7-b6b6-4b49-a752-f383d1c9a989"",""replica"":""911676ce-0dfb-4571-a2f8-e30a63fff87c""}",2026-04-12T21:18:17.838819612Z
> titanbot-custom@2.0.0 start,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""cb4c1cd7-b6b6-4b49-a752-f383d1c9a989"",""replica"":""911676ce-0dfb-4571-a2f8-e30a63fff87c""}",2026-04-12T21:18:17.838824883Z
    at Module._compile (node:internal/modules/cjs/loader:1364:14),info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""cb4c1cd7-b6b6-4b49-a752-f383d1c9a989"",""replica"":""911676ce-0dfb-4571-a2f8-e30a63fff87c""}",2026-04-12T21:18:17.838833254Z
Instead change the require of encoding-lite.js in /app/node_modules/html-encoding-sniffer/lib/html-encoding-sniffer.js to a dynamic import() which is available in all CommonJS modules.,info,"{""level"":""info""}","{""project"":""0d8709c0-b92e-4db4-8560-6f1065800aff"",""environment"":""0e56d669-c9ef-48cc-8de4-cd4d3b2524b6"",""service"":""8a963aa4-2973-4b86-82e4-c9e59ac771fe"",""deployment"":""cb4c1cd7-b6b6-4b49-a752-f383d1c9a989"",""replica"":""911676ce-0dfb-4571-a2f8-e30a63fff87c""}",2026-04-12T21:18:17.838835940Z
